class_number,AI,Foundations,data_science,software_eng,web_dev,game_dev,network_computin/IT,interdisciplinary
300,,,,1,,,,
306,,,,,,,,1
307,,,,,,,,1
309,,,,,,,,1
317,,,,,1,,,
340,,1,,,,,,
412,,,,1,,,,
413,,,,1,,,,
415,,1,,,,,,
510,,1,,,,,,
520,,1,,,,,,
600,,1,,,,,,
615,,1,,,,,,
620,1,,,,,,,
621,,,,,,,,1
630,,,,,,1,,
631,,,,,,1,,
637,,,,,,,,1
641,,1,,,,,,
642,,,,1,,,,
644,,,1,,,,,
645,,,,,,,1,
648,,,,1,,,,
650,,,,,,,1,
651,,,,,,,1,
656,,1,,,,,,
658,,1,,,,,,
664,,,,,,,,
665,1,,,,,,,
667,,,,,1,,,
668,,,,1,,,,
671,1,,,,,,,
675,,,,,,,1,
690,,,,,,1,,
693,,,,,,,,
694,,,,,,,,
695,,,,,,,,
697,,,,1,,,,
698,,,,,,,,
699,,,,,,,,
